Student_number,Ability,Difference_in_days,Gender,TotalpreA,TotalpostA,TotalretA,DiffprepostA,SoW
WB63a10,L,3742,M,4,6,9,2,2
WB63a11,L,3751,M,6,6,6,0,2
WB63a12,L,3735,F,7,5,3,-2,2
WB63a13,L,3705,F,6,8,na,2,2
WB63a14,L,3790,M,5,8,na,3,2
WB63a16,L,3840,M,5,8,na,3,2
WB63a17,L,3748,M,6,8,na,2,2
WB63b4,L,3741,F,6,10,na,4,2
WB63b8,L,3891,M,0,8,na,8,2
WB63b9,L,3724,F,1,4,na,3,2
WB63b11,L,3674,F,8,5,na,-3,2
WB63b12,L,3687,F,4,5,na,1,2
WB63b14,L,3867,M,4,4,na,0,2
WB72a7,L,3799,F,5,5,na,0,2
WB72a10,L,3908,M,7,5,na,-2,2
WB72a13,L,3981,M,6,5,na,-1,2
WB72a15,L,3896,M,4,5,na,1,2
WD6018,L,4351,F,4,3,4,-1,2
WD6019,L,3993,F,6,8,5,2,2
WD6020,L,3809,M,7,12,9,5,2
WD6021,L,3839,M,6,8,5,2,2
CH696,L,3714,F,4,8,na,4,3
CH6911,L,3696,F,6,11,na,5,3
CH6913,L,3735,M,4,7,na,3,3
CH6920,L,3776,M,2,4,na,2,3
CH6921,L,3778,M,5,9,na,4,3
CH6923,L,3997,M,3,12,na,9,3
CH772,L,3621,F,4,8,na,4,3
CH775,L,3403,F,4,8,na,4,3
CH776,L,3313,F,4,4,na,0,3
CH777,L,3510,F,5,7,na,2,3
CH779,L,3438,F,2,5,na,3,3
CH7717,L,3603,M,3,7,na,4,3
CH7720,L,3380,M,6,6,na,0,3
CH7724,L,3578,M,3,5,na,2,3
SL6822,L,3722,F,8,6,7,-2,3
SL6823,L,3592,F,11,10,10,-1,3
SL6824,L,3797,F,5,5,3,0,3
SL6825,L,3694,F,6,9,5,3,3
SL6826,L,3942,M,4,3,7,-1,3
SL6827,L,3782,F,6,6,5,0,3
SM4d1,L,3822,M,7,3,5,-4,3
SM4d2,L,3977,F,0,6,4,6,3
SM4d3,L,3961,M,5,3,4,-2,3
SM4d4,L,3978,M,4,6,4,2,3
SM4d5,L,3935,M,7,4,2,-3,3
SM4d6,L,3745,M,3,9,4,6,3
SM4d7,L,3857,M,5,4,8,-1,3
SM4d8,L,3949,M,5,5,4,0,3
SW15b12,L,3942,M,5,7,9,2,3
SW15b22,L,3829,M,2,10,10,8,3
SW15b23,L,3692,M,6,8,9,2,3
SX70a8,L,4000,M,6,6,na,0,3
SX70a13,L,3870,F,6,7,na,1,3
SX70a24,L,3793,F,5,6,na,1,3
SX70b4,L,3872,M,5,4,na,-1,3
SX70b7,L,3752,M,5,3,na,-2,3
SX70b10,L,3633,M,5,4,na,-1,3
SX70b12,L,3754,M,5,6,na,1,3
SX70b22,L,3873,M,6,6,na,0,3
SX71a5,L,3976,F,9,6,na,-3,3
SX71a7,L,3973,F,8,8,na,0,3
SX71a10,L,3737,M,5,2,na,-3,3
SX71a12,L,3844,M,2,6,na,4,3
SX71a16,L,3908,F,8,8,na,0,3
SX71a20,L,3889,F,6,9,na,3,3
SX71a28,L,3818,F,2,3,na,1,3
SX71b10,L,3675,F,2,6,na,4,3
WC6521,L,4151,M,4,13,na,9,3
WC6522,L,4148,M,10,8,na,-2,3
WC6523,L,3893,F,4,5,na,1,3
WC6524,L,3765,F,8,11,na,3,3
WS6714,L,4035,F,7,8,9,1,3
WS6715,L,3716,F,9,7,5,-2,3
WS6716,L,3499,F,8,9,7,1,3
WS6717,L,3941,F,4,2,6,-2,3
WS6718,L,3560,F,4,6,3,2,3
WS6719,L,3900,M,5,4,4,-1,3
WS6720,L,4015,M,3,5,8,2,3
WS6721,L,3999,M,7,8,na,1,3
BF588,L,3698,M,6,6,3,0,4
BF5816,L,4023,M,8,9,5,1,4
BP5915,L,4101,F,5,4,6,-1,4
BP5916,L,4087,F,4,8,6,4,4
BP5920,L,4154,M,7,8,5,1,4
OA21c18,L,4215,M,2,8,6,6,4
OA21c19,L,4164,M,4,5,7,1,4
OA21c20,L,3878,M,3,3,3,0,4
OA21c21,L,3993,F,8,8,8,0,4
OA21c22,L,4259,F,4,10,9,6,4
OA21c24,L,3908,M,7,8,na,1,4
OA21c26,L,4248,M,4,6,na,2,4
OA23b1,L,4282,M,7,6,na,-1,4
OA23b2,L,4012,M,2,8,na,6,4
OA23b3,L,3963,M,3,6,na,3,4
OA23b4,L,4179,F,3,7,na,4,4
OA4717,L,4190,F,4,6,na,2,4
OA4718,L,3960,M,2,4,na,2,4
OA4719,L,4196,M,5,7,na,2,4
OA4720,L,3935,F,5,9,na,4,4
OA4821,L,4283,M,7,6,na,-1,4
OA4822,L,4161,M,2,6,na,4,4
OA4823,L,4202,M,2,8,na,6,4
OA4824,L,4284,M,3,8,na,5,4
OA4825,L,4136,M,5,5,na,0,4
OA4826,L,4231,F,6,6,na,0,4
OA496,L,3951,F,5,11,9,6,4
OA498,L,3983,M,2,4,3,2,4
OA4918,L,4281,M,8,9,na,1,4
OA4919,L,3947,M,6,5,na,-1,4
OA4920,L,4084,M,5,3,na,-2,4
OA4923,L,4037,F,5,6,na,1,4
OA4924,L,4015,F,6,7,na,1,4
SJ5418,L,3870,M,5,5,na,0,4
SJ5419,L,4287,M,8,7,na,-1,4
SJ5420,L,3923,M,3,4,na,1,4
SJ5421,L,3751,F,2,4,na,2,4
SJ5422,L,3977,F,1,6,na,5,4
SJ5518,L,3957,F,3,6,na,3,4
SJ5519,L,3861,M,5,3,na,-2,4
SJ5520,L,3475,M,5,8,na,3,4
SJ5521,L,4147,M,6,8,na,2,4
SJ5522,L,3613,M,5,7,na,2,4
SJ5523,L,4246,M,0,6,na,6,4
SJ5524,L,4171,M,5,7,na,2,4
SJ5525,L,3815,M,3,3,na,0,4
SJ5621,L,4016,M,9,6,na,-3,4
SJ5622,L,4020,M,2,4,na,2,4
SJ5623,L,3974,M,7,7,na,0,4
SJ5624,L,3961,M,6,9,na,3,4
SJ5625,L,4297,F,8,9,na,1,4
SJ5626,L,4236,F,6,11,na,5,4
SJ5627,L,3724,F,5,3,na,-2,4
SN5321,L,4299,M,6,8,na,2,4
SN5322,L,3776,M,7,8,na,1,4
SN5323,L,4088,F,6,7,na,1,4
SS45a22,L,3792,F,8,12,na,4,4
SS45a23,L,3945,F,6,11,na,5,4
SS45a24,L,4066,M,6,10,na,4,4
SS45a25,L,3945,M,11,13,na,2,4
SS45a26,L,3967,M,7,11,na,4,4
SS45a27,L,3905,M,8,13,na,5,4
SS45a28,L,4006,M,9,10,na,1,4
STM4416,L,3991,F,6,6,na,0,4
STM4417,L,4178,F,4,6,na,2,4
STM4418,L,4112,F,5,4,na,-1,4
STM4419,L,3888,F,0,6,na,6,4
STM4420,L,3953,M,6,7,na,1,4
