Student_number,Ability,Difference_in_days,Gender,TotalpreA,TotalpostA,TotalretA,DiffprepostA,SoW
MH2a12,l,4042,F,3,6,NA,3,1
MH2a13,l,3732,F,4,6,NA,2,1
MH2a14,l,3821,F,1,5,NA,4,1
MH2a15,l,4017,M,3,6,NA,3,1
MH2a16,l,4030,F,4,4,NA,0,1
MH2a17,l,3806,M,4,5,NA,1,1
MH3a13,l,4050,F,8,9,NA,1,1
MH3a14,l,3816,F,4,4,NA,0,1
MH3a15,l,3918,M,3,3,NA,0,1
MH3a16,l,3897,M,3,4,NA,1,1
OA21a21,l,4090,M,3,10,11,7,1
OA21a22,l,4321,M,8,10,9,2,1
OA21a23,l,4054,M,5,6,6,1,1
OA21a24,l,4353,F,5,9,6,4,1
OA21a25,l,4199,M,5,6,5,1,1
OA21a26,l,3965,F,4,6,5,2,1
OA21a27,l,4046,M,6,9,NA,3,1
OA21a28,l,4032,M,2,2,NA,0,1
OA21b19,l,4182,F,3,5,3,2,1
OA21b20,l,4138,M,3,5,NA,2,1
OA21b21,l,3957,F,7,7,5,0,1
OA2221,l,3955,M,4,8,NA,4,1
OA2222,l,4242,M,2,6,NA,4,1
OA2223,l,4054,M,3,5,NA,2,1
OA2318,l,4137,M,5,5,NA,0,1
OA2319,l,4268,F,7,10,NA,3,1
OA2320,l,4297,M,7,7,NA,0,1
OA2321,l,4075,F,5,7,NA,2,1
OA2322,l,4063,M,6,4,NA,-2,1
OA2323,l,3981,F,7,7,NA,0,1
OA2324,l,4216,M,5,6,NA,1,1
OA2421,l,4066,M,4,5,NA,1,1
OA2422,l,3826,F,2,3,NA,1,1
OA2423,l,4147,M,5,6,NA,1,1
OA2424,l,4140,M,2,7,NA,5,1
OA2518,l,4157,M,3,4,NA,1,1
OA2519,l,4479,F,3,7,NA,4,1
OA2520,l,4459,F,1,6,NA,5,1
OA2521,l,4180,F,3,6,NA,3,1
OA2522,l,4289,M,4,5,NA,1,1
OA2523,l,3975,F,3,5,NA,2,1
OA2524,l,4177,F,5,11,NA,6,1
OA2525,l,4225,M,6,8,NA,2,1
OA2526,l,4219,F,3,7,NA,4,1
AL35a23,l,4029,M,6,8,NA,2,2
AL35a24,l,4009,M,8,4,NA,-4,2
AL35a25,l,4089,M,5,9,NA,4,2
AL35a26,l,4051,F,6,11,NA,5,2
AL35a27,l,4256,F,4,7,NA,3,2
AL35b23,l,3938,F,4,7,NA,3,2
AL35b24,l,4004,M,4,5,NA,1,2
AL35b25,l,4001,F,3,4,NA,1,2
AL35b26,l,3959,F,4,6,NA,2,2
AL35b27,l,4184,M,4,4,NA,0,2
AL35b28,l,4241,M,3,5,NA,2,2
AL3326,l,3984,F,6,13,NA,7,2
AL3327,l,4076,M,7,13,NA,6,2
AL3328,l,3946,F,6,8,NA,2,2
AL3329,l,4039,M,3,7,NA,4,2
AL3330,l,3967,F,3,9,NA,6,2
AL3425,l,4152,M,5,5,NA,0,2
AL3426,l,4056,M,6,6,NA,0,2
AL3427,l,4123,M,0,3,NA,3,2
AL3428,l,3977,M,4,4,NA,0,2
AL3429,l,4033,F,5,11,NA,6,2
CH29a21,l,3751,M,6,5,NA,-1,2
CH29a22,l,3946,F,4,5,NA,1,2
CH29a23,l,3814,M,4,6,NA,2,2
CH29a24,l,3717,F,4,5,NA,1,2
CH29a25,l,3723,F,3,6,NA,3,2
CH29a26,l,3768,F,7,7,NA,0,2
CH29a27,l,3727,M,7,8,NA,1,2
CH29a28,l,4004,F,4,5,NA,1,2
CH29a29,l,3766,F,5,7,NA,2,2
CH29a30,l,3873,F,3,8,NA,5,2
CH30a22,l,4139,M,6,5,NA,-1,2
CH30a23,l,3817,F,4,6,NA,2,2
CH30a24,l,3581,F,5,6,NA,1,2
CH30a25,l,3662,F,3,7,NA,4,2
CH30a26,l,3820,M,6,7,NA,1,2
CH30a27,l,4141,M,7,9,NA,2,2
CH30a28,l,3617,M,5,9,NA,4,2
CH30a29,l,3930,M,6,10,NA,4,2
GR1919,l,4109,F,2,4,5,2,2
GR1920,l,4032,F,1,4,5,3,2
GR1921,l,4044,F,2,3,4,1,2
GR1922,l,4096,M,6,6,8,0,2
GR1923,l,3938,M,6,7,NA,1,2
GR2021,l,3868,M,4,8,6,4,2
GR2022,l,3870,F,5,7,9,2,2
GR2023,l,3970,M,5,7,5,2,2
GR2024,l,3956,F,6,10,9,4,2
HB2811,l,3279,F,3,11,10,8,2
HB2812,l,3098,F,0,8,7,8,2
HB2813,l,3118,M,1,10,7,9,2
HB2814,l,3596,F,2,12,9,10,2
HB2815,l,3689,M,4,11,8,7,2
