Student_number,Ability,Difference_in_days,Gender,TotalpreA,TotalpostA,TotalretA,DiffprepostA,SoW
AM9a1,h,4071,M,9,NA,NA,NA,1
AM9a2,h,3962,F,5,NA,NA,NA,1
AM9a3,h,3905,F,6,NA,NA,NA,1
AM9a4,h,3877,F,6,NA,NA,NA,1
AM9a5,h,3911,F,3,NA,NA,NA,1
AM9a6,h,3993,F,9,NA,NA,NA,1
AM9a7,h,3968,F,6,NA,NA,NA,1
AM9a8,h,4021,F,8,NA,NA,NA,1
AM9a9,h,4011,F,6,NA,NA,NA,1
AM9a10,h,3814,F,6,NA,NA,NA,1
AM9a11,h,3785,F,7,NA,NA,NA,1
AM9a12,h,3868,F,6,NA,NA,NA,1
AM9a13,h,4026,F,8,NA,NA,NA,1
AM9a14,h,3815,F,6,NA,NA,NA,1
AM9a15,m,4197,M,6,NA,NA,NA,1
AM9a16,m,3979,F,6,NA,NA,NA,1
AM9a17,m,3729,M,7,NA,NA,NA,1
AM9a18,m,4079,M,7,NA,NA,NA,1
AM9a19,m,3967,M,4,NA,NA,NA,1
AM9a20,m,3818,M,4,NA,NA,NA,1
AM9a21,m,3912,M,8,NA,NA,NA,1
AM9a22,l,3772,M,7,NA,NA,NA,1
AM9a23,l,3820,F,5,NA,NA,NA,1
AM101,h,3870,M,8,NA,NA,NA,1
AM102,h,3980,F,11,NA,NA,NA,1
AM103,h,3796,F,9,NA,NA,NA,1
AM104,h,3848,M,8,NA,NA,NA,1
AM105,h,4003,M,6,NA,NA,NA,1
AM106,h,4071,M,6,NA,NA,NA,1
AM107,h,4035,F,9,NA,NA,NA,1
AM108,h,3934,M,7,NA,NA,NA,1
AM109,h,3878,F,8,NA,NA,NA,1
AM1010,h,3809,M,6,NA,NA,NA,1
AM1011,h,4065,M,8,NA,NA,NA,1
AM1012,h,4068,F,7,NA,NA,NA,1
AM1013,m,4017,F,7,NA,NA,NA,1
AM1014,m,3967,M,7,NA,NA,NA,1
AM1015,m,4069,F,6,NA,NA,NA,1
AM1016,m,4042,M,5,NA,NA,NA,1
AM1017,m,4028,F,6,NA,NA,NA,1
AM1018,m,3730,F,9,NA,NA,NA,1
AM1019,m,3995,M,3,NA,NA,NA,1
AM1020,m,3831,F,7,NA,NA,NA,1
AM1021,m,4021,F,5,NA,NA,NA,1
AM1022,m,3871,M,4,NA,NA,NA,1
