Student_number,Ability,Difference_in_days,Gender,TotalpreA,TotalpostA,TotalretA,DiffprepostA,SoW
SE5d25,M,4016,M,5,7,9,2,1
SE5d26,M,3802,M,3,12,9,9,1
SE5d27,M,4031,M,5,10,8,5,1
SE5d28,M,4111,F,4,10,na,6,1
SE5d29,M,4063,F,5,8,na,3,1
SE5d30,M,3804,M,7,7,na,0,1
SE5d31,M,4080,F,6,na,na,na,1
SE5d32,M,4139,M,7,na,na,na,1
SE6b1,H,3911,M,4,11,11,7,1
SE6b2,H,3837,M,8,11,10,3,1
SE6b3,H,4013,F,8,9,8,1,1
SE6b4,H,4380,M,6,7,8,1,1
SE6b5,H,3971,F,7,9,9,2,1
SE6b6,H,4032,M,7,7,9,0,1
SE6b7,H,4070,M,9,10,9,1,1
SE6b8,H,3868,F,8,10,11,2,1
SE6b9,H,3918,F,7,11,6,4,1
SE6b10,H,4006,F,7,10,10,3,1
SE6b11,H,3944,F,11,11,8,0,1
SE6b12,H,4143,M,8,7,7,-1,1
SE6b13,H,4090,M,7,8,8,1,1
SE6b14,H,4084,M,11,8,8,-3,1
SE6b15,H,3780,F,5,9,7,4,1
SE6b16,H,3933,F,10,9,7,-1,1
SE6b17,H,4014,M,10,12,14,2,1
SE6b18,H,3982,F,9,11,8,2,1
SE6b19,H,3887,F,8,10,10,2,1
SE6b20,H,4134,F,6,11,6,5,1
SE6b21,H,3786,F,10,13,14,3,1
SE6b22,H,3958,F,8,6,8,-2,1
SE6b23,H,4101,M,7,11,4,4,1
SE6b24,H,3813,F,9,9,12,0,1
SE6b25,H,4102,F,10,11,9,1,1
SE6b26,H,4053,M,6,8,12,2,1
SE6b27,H,3662,M,9,10,6,1,1
SE6b28,H,3804,M,8,9,7,1,1
SE6b29,H,4109,M,10,11,8,1,1
SE6b30,H,3871,F,10,10,na,0,1
SE6b31,H,4131,M,8,7,na,-1,1
SE6c1,L,4038,F,2,4,5,2,1
SE6c2,L,3851,F,2,7,3,5,1
SE6c3,L,3966,M,3,7,3,4,1
SE6c4,L,3872,F,5,8,8,3,1
SE6c5,L,3792,F,8,8,4,0,1
SE6c6,L,3894,F,8,9,8,1,1
SE6c7,L,3892,M,4,4,4,0,1
SE6c8,L,3955,M,4,6,4,2,1
SE6c9,L,4113,M,5,6,5,1,1
SE6c10,L,4108,M,3,3,5,0,1
SE6c11,L,3863,M,2,8,5,6,1
SE6c12,L,3798,F,2,3,2,1,1
SE6c13,L,3809,F,4,6,na,2,1
SE6c14,L,3980,F,4,na,na,na,1
SE6c15,L,4080,M,2,na,na,na,1
SE43a1,M,3882,F,7,5,8,-2,1
SE43a2,M,4065,F,4,3,2,-1,1
SE43a3,M,3786,F,6,6,4,0,1
SE43a4,M,3952,F,6,4,5,-2,1
SE43a5,M,3841,M,5,5,7,0,1
SE43a6,M,3817,F,8,8,8,0,1
SE43a7,M,4023,M,6,6,10,0,1
SE43a8,M,3980,M,5,3,4,-2,1
SE43a9,M,3915,M,3,5,8,2,1
SE43a10,M,3991,F,3,5,3,2,1
SE43a11,M,4119,M,6,7,7,1,1
SE43a12,M,3973,F,8,4,5,-4,1
SE43a13,M,3942,M,6,3,3,-3,1
SE43a14,M,3890,F,5,6,5,1,1
SE43a15,M,4116,F,4,6,3,2,1
SE43a16,M,4019,F,6,4,6,-2,1
SE43a17,M,3866,F,3,9,6,6,1
SE43a18,M,4103,M,4,4,7,0,1
SE43a19,M,3902,F,4,4,5,0,1
SE43a20,M,4033,F,4,1,4,-3,1
SE43a21,M,4035,F,3,6,6,3,1
SE43a22,M,3967,F,4,2,5,-2,1
SE43a23,M,3980,F,3,5,4,2,1
SE43a31,M,4010,M,3,4,3,1,1
SE43a24,M,4031,F,4,7,na,3,1
SE43a25,M,3973,F,5,5,na,0,1
SE43a26,M,3880,M,4,2,na,-2,1
SE43a27,M,4051,F,8,7,na,-1,1
SE43a28,M,4041,F,3,1,na,-2,1
SE43a29,M,3821,F,3,5,na,2,1
SE43a30,M,4069,M,6,6,na,0,1
SE43a32,M,4121,M,4,5,na,1,1
SE43a33,M,4062,F,8,na,na,na,1
SE43a34,M,4039,M,8,na,na,na,1
SE43b1,L,4080,M,5,3,8,-2,1
SE43b2,L,4143,M,4,6,5,2,1
SE43b3,L,3976,M,6,3,6,-3,1
SE43b4,L,4077,M,5,8,5,3,1
SE43b5,L,3832,M,3,9,9,6,1
SE43b6,L,3971,F,2,4,5,2,1
SE43b7,L,4142,M,5,9,7,4,1
SE43b8,L,3890,F,2,4,5,2,1
SE43b9,L,3899,M,3,3,9,0,1
SE43b10,L,3857,F,2,5,4,3,1
SE43b11,L,4119,F,3,3,2,0,1
SE43b12,L,3965,F,7,6,6,-1,1
SE43b13,L,3892,F,5,4,5,-1,1
SE43b14,L,4117,F,6,3,2,-3,1
SE43b15,L,3831,F,6,4,4,-2,1
SE43b16,L,4138,F,7,5,8,-2,1
SE43b17,L,3962,F,2,5,6,3,1
SE43b18,L,3857,M,5,4,10,-1,1
SE43b19,L,3950,F,5,na,na,na,1
SE43b20,L,4008,F,5,na,na,na,1
SG57b1,M,3756,F,7,11,11,4,1
SG57b2,H,3850,M,8,14,13,6,1
SG57b3,H,4008,M,7,12,11,5,1
SG57b4,H,3974,M,5,15,15,10,1
SG57b5,M,3864,M,4,11,14,7,1
SG57b6,L,3811,M,4,8,8,4,1
SG57b7,M,3982,M,8,11,11,3,1
SG57b8,M,3822,M,9,6,9,-3,1
SG57b9,L,3878,M,6,15,11,9,1
SG57b10,H,3834,F,4,12,12,8,1
SG57b11,L,3686,F,7,12,13,5,1
SG57b12,L,3985,F,5,6,11,1,1
SG57b13,H,3862,F,4,10,10,6,1
SG57b14,H,3824,F,6,14,14,8,1
SG57b15,H,3840,F,5,14,13,9,1
SG57b16,M,3834,F,10,11,7,1,1
SG57b17,M,3862,M,2,11,12,9,1
SG57b18,M,3779,M,7,14,13,7,1
SS45b1,M,3767,F,7,7,na,0,1
SS45b2,H,3871,M,8,10,na,2,1
SS45b3,L,3980,M,5,6,na,1,1
SS45b4,H,3913,M,4,6,na,2,1
SS45b5,H,3855,M,6,9,na,3,1
SS45b6,M,4073,F,9,9,na,0,1
SS45b7,M,3747,M,7,9,na,2,1
SS45b8,H,3871,F,8,5,na,-3,1
SS45b9,H,3760,M,5,11,na,6,1
SS45b10,M,3855,F,3,8,na,5,1
SS45b11,M,3825,M,6,9,na,3,1
SS45b12,L,3753,M,8,6,na,-2,1
SS45b13,H,3989,M,11,6,na,-5,1
SS45b14,H,3830,M,6,9,na,3,1
SS45b15,M,3788,M,4,5,na,1,1
SS45b16,H,3880,F,7,9,na,2,1
SS45b17,M,3851,F,6,9,na,3,1
SS45b18,M,3733,F,2,8,na,6,1
SS45b19,L,3901,M,6,10,na,4,1
SS45b20,H,3899,F,3,6,na,3,1
SS45b21,L,3780,F,6,10,na,4,1
SS45b22,M,3756,F,6,9,na,3,1
SS45b23,L,3855,M,7,2,na,-5,1
SS45b24,M,3817,F,8,9,na,1,1
SS45b25,L,3791,M,2,5,na,3,1
SS45b26,H,4056,F,7,9,na,2,1
SS45b27,H,3824,M,8,na,na,na,1
SS45b28,H,3874,M,7,na,na,na,1
SS45b29,H,3853,F,7,na,na,na,1
ST501,M,3680,F,6,3,6,-3,1
ST502,H,3838,M,4,1,6,-3,1
ST503,H,4137,M,6,7,12,1,1
ST504,M,4136,M,5,6,8,1,1
ST505,M,3681,M,4,3,4,-1,1
ST506,H,4072,M,11,13,13,2,1
ST507,H,3577,F,8,6,10,-2,1
ST508,H,4127,M,6,7,8,1,1
ST509,M,3834,F,6,7,9,1,1
ST5010,M,4128,F,4,6,11,2,1
ST5011,M,3487,F,5,6,8,1,1
ST5012,H,3989,F,6,7,10,1,1
ST5013,M,3571,M,9,8,10,-1,1
ST5014,M,4070,M,2,12,12,10,1
ST5015,H,4003,F,6,10,8,4,1
ST5016,M,3902,M,9,9,8,0,1
ST5017,M,3666,F,6,4,6,-2,1
ST5018,M,3877,F,4,10,7,6,1
ST5019,M,3745,M,5,4,4,-1,1
ST5020,M,3802,F,9,9,7,0,1
ST5021,H,4120,F,7,9,12,2,1
ST5022,M,3842,F,6,7,8,1,1
ST5023,M,3864,M,6,5,9,-1,1
ST5024,M,3512,F,9,9,10,0,1
ST5025,H,3710,M,8,6,8,-2,1
ST5026,H,3814,F,7,7,8,0,1
ST5027,M,3839,M,10,11,13,1,1
ST5028,M,3843,F,7,5,7,-2,1
